all,sb,arm,drive
21.44,21.44,2.68,42.59
42.59,16.15,29.8,51.7
16.15,20.74,29.16,40.84
51.7,18.39,5.2,14.93
2.73,9.27,17.2,50.92
20.74,17.91,29.96,44.87
40.84,28.89,16.4,30.37
2.68,4.36,17.41,21.42
18.39,4.25,5.52,33.83
9.27,3.96,36.31,51.2
14.93,3.99,12.1,39.59
17.91,4.26,10.45,37.83
29.8,4.34,11.58,38.31
28.89,4.37,39.24,36.0
4.36,2.76,8.17,34.35
4.25,13.54,9.28,119.79
3.96,7.01,9.86,37.48
3.99,10.64,14.44,26.15
4.26,8.1,105.64,40.02
4.34,23.39,16.98,48.31
4.37,30.47,12.4,78.39
2.76,18.6,29.51,34.45
50.92,25.12,16.03,20.75
13.54,12.03,5.15,34.48
44.87,23.76,33.05,40.92
7.01,20.66,7.72,17.14
10.64,25.62,7.83,27.63
8.1,15.89,34.2,35.63
30.37,13.71,6.91,48.11
23.39,43.31,45.74,41.14
30.47,22.69,3.4,57.49
21.42,71.17,4.11,57.65
2.15,25.35,18.02,12.91
18.6,5.42,13.12,44.83
25.12,20.57,110.06,39.17
29.16,21.77,6.17,29.21
5.2,22.89,31.82,36.9
12.03,30.9,10.46,48.18
33.83,6.49,12.15,67.7
51.2,5.23,3.17,35.45
0.98,24.65,13.95,75.84
23.76,2.36,17.5,38.1
17.2,6.99,30.74,34.62
20.66,16.07,51.57,38.49
39.59,24.24,3.33,38.79
25.62,18.74,14.65,32.1
15.89,8.38,9.85,44.8
13.71,36.53,34.9,46.45
43.31,11.72,42.38,56.31
37.83,25.98,5.76,42.66
22.69,15.59,3.17,36.42
71.17,8.62,24.55,50.74
25.35,12.17,8.06,30.29
5.42,14.44,16.66,26.29
29.96,24.52,34.49,41.53
2.52,8.08,8.15,91.48
16.4,8.45,7.2,41.6
17.41,28.11,22.05,58.83
38.31,21.4,3.17,26.34
20.57,20.46,18.81,70.17
21.77,2.93,41.11,38.73
22.89,14.09,6.51,47.57
36.0,21.68,46.36,52.89
5.52,12.22,33.02,31.63
30.9,8.03,12.6,28.62
6.49,15.27,11.18,41.81
5.23,5.36,14.9,55.11
24.65,14.77,7.43,39.01
36.31,10.36,10.86,25.63
2.36,20.06,21.22,74.6
6.99,0.78,31.8,25.22
16.07,12.36,4.3,31.41
12.1,10.81,17.25,37.25
24.24,34.8,31.8,7.55
10.45,25.67,25.2,37.58
34.35,4.46,33.99,44.56
11.58,30.41,28.77,48.87
18.74,21.57,11.49,42.13
10.69,9.98,20.92,27.04
9.95,3.54,30.51,29.14
39.24,10.91,15.08,26.33
8.38,11.36,35.68,39.58
36.53,10.5,20.26,17.94
11.72,10.44,16.67,43.1
6.03,11.42,9.48,32.07
25.98,12.16,34.24,37.41
30.23,16.92,19.51,18.27
8.17,24.22,56.93,29.49
15.59,34.62,14.89,36.35
26.93,17.0,63.33,59.02
9.28,21.23,7.42,38.07
8.62,6.12,34.07,42.23
9.86,11.04,8.43,40.12
12.17,31.9,41.39,25.65
14.44,13.84,8.26,32.43
16.73,19.83,22.52,39.41
217.95,13.83,33.12,22.98
3.46,13.77,26.17,58.72
24.52,8.26,21.76,42.16
15.38,15.91,27.74,42.64
8.08,8.34,18.07,31.2
8.45,37.72,31.68,8.38
14.44,35.17,31.72,24.92
2.69,6.25,38.16,47.21
28.11,13.19,48.49,7.52
21.4,35.97,48.72,40.87
5.92,10.03,21.9,11.16
20.46,26.32,31.41,41.03
19.28,7.49,24.11,94.14
2.93,9.07,16.74,33.89
14.09,7.48,23.61,43.82
33.23,8.47,44.29,22.46
9.01,11.53,4.12,27.8
21.68,20.57,17.42,36.44
34.59,8.82,18.31,49.72
12.22,5.71,12.95,41.13
8.03,6.97,41.4,25.41
15.27,4.91,41.2,46.1
5.36,2.95,10.95,40.71
14.77,20.86,14.96,7.28
105.64,0.6,8.25,190.25
16.98,7.73,22.3,30.4
10.36,4.02,11.22,55.0
3.57,7.41,5.3,29.06
4.13,4.95,28.24,31.2
119.79,12.75,4.47,69.34
12.4,8.99,12.59,27.62
1.99,21.95,23.87,43.62
20.06,49.64,4.15,73.39
0.78,17.5,22.18,69.11
3.03,21.84,8.14,39.84
12.36,9.15,13.56,33.25
10.81,6.5,10.71,42.46
34.8,18.03,35.22,52.79
25.67,5.45,6.38,43.17
29.51,1.36,42.98,62.95
16.03,5.6,7.6,42.68
37.48,18.59,3.94,40.17
5.15,33.87,34.24,30.42
4.46,2.4,44.36,48.55
30.41,5.01,26.84,51.71
26.15,2.4,6.99,41.33
2.65,2.6,11.62,70.05
21.57,13.91,16.86,37.44
9.98,9.0,38.24,46.45
4.03,22.39,7.63,13.36
3.15,13.24,15.61,41.89
3.54,16.19,33.37,10.93
3.15,5.38,14.18,30.0
10.91,20.55,16.16,35.95
11.36,30.31,34.8,43.66
3.15,15.11,2.63,47.16
10.5,12.59,14.92,37.28
3.14,7.86,27.61,45.44
10.44,4.69,29.32,41.17
3.15,7.74,5.4,15.04
3.03,12.81,22.67,38.63
11.42,20.99,17.94,37.41
3.15,38.74,64.11,34.64
12.16,31.76,22.36,35.33
16.92,9.95,16.87,40.41
33.05,7.9,0.54,33.82
7.72,29.51,12.04,46.02
7.83,22.51,17.89,43.78
24.22,64.79,43.08,32.3
34.62,25.05,6.31,6.5
34.2,20.42,18.76,39.68
6.91,16.76,3.14,36.09
17.0,15.63,12.52,38.71
45.74,17.15,26.51,37.22
19.18,23.91,63.11,23.22
3.4,20.26,18.76,33.97
21.23,19.12,12.42,32.68
40.02,3.29,16.68,4.28
4.11,28.15,9.01,54.03
7.56,6.35,18.89,35.26
18.02,3.78,12.03,9.66
13.12,20.68,18.35,10.84
6.12,3.81,17.42,9.52
11.04,3.77,15.96,72.33
110.06,3.35,16.79,11.42
31.9,5.87,20.32,97.16
13.84,3.63,23.78,57.97
48.31,3.79,26.48,80.72
6.17,21.32,2.26,13.27
31.82,24.86,31.4,9.85
19.83,4.75,49.11,23.07
78.39,26.1,29.01,15.64
10.46,34.55,14.42,7.27
12.15,24.68,16.35,45.74
13.83,36.87,53.8,55.94
34.45,18.34,70.94,17.77
3.17,8.51,15.48,24.09
26.72,17.24,11.91,45.24
13.95,27.59,3.45,44.06
13.77,23.66,17.42,22.5
20.75,15.3,37.3,52.52
8.26,24.22,101.24,34.82
17.5,1.61,30.9,50.03
15.91,15.57,26.61,30.4
34.48,18.47,16.87,33.98
8.34,27.37,12.32,44.44
37.72,16.31,13.08,30.44
35.17,17.71,50.37,56.73
30.74,14.33,143.79,49.63
6.25,16.0,85.94,97.65
51.57,28.11,50.91,41.86
13.19,29.16,32.31,34.75
40.92,5.51,4.78,40.44
3.33,6.87,38.73,34.14
35.97,10.8,5.54,2.88
14.65,3.16,17.85,5.58
10.03,3.37,4.07,43.01
17.14,2.1,24.01,39.09
26.32,4.52,4.28,56.16
9.85,14.06,55.2,50.55
7.49,20.03,42.86,35.0
27.63,24.32,11.45,40.64
9.07,23.37,31.84,45.18
34.9,0.52,3.57,48.38
7.48,14.63,58.66,48.26
42.38,25.65,10.37,22.98
5.76,6.95,11.74,
8.47,2.96,44.5,
35.63,4.07,6.99,
3.17,5.69,26.42,
11.53,26.65,64.96,
24.55,11.76,16.89,
20.57,21.06,12.01,
48.11,18.33,22.88,
8.06,2.09,3.78,
8.82,31.1,29.85,
5.71,39.22,7.82,
6.97,27.56,3.66,
4.91,22.71,17.88,
16.66,3.59,19.32,
2.95,7.64,40.83,
24.38,37.98,21.6,
41.14,7.66,22.07,
20.86,13.88,16.6,
0.6,8.59,18.72,
7.73,8.48,21.77,
4.02,14.43,20.0,
34.49,20.81,43.91,
7.41,9.23,4.38,
8.15,18.92,19.59,
57.49,25.11,14.73,
7.2,22.18,27.49,
4.95,23.56,27.84,
22.05,2.53,18.41,
12.75,4.82,14.41,
57.65,29.36,19.27,
3.17,11.45,7.37,
8.99,17.44,23.81,
18.81,13.38,28.43,
21.95,9.28,7.94,
49.64,18.39,3.62,
2.98,27.64,27.81,
17.5,8.44,10.95,
6.38,26.36,50.95,
21.84,24.59,32.51,
41.11,32.58,8.44,
11.26,35.23,61.26,
6.51,17.72,18.22,
46.36,8.28,25.97,
9.15,18.01,13.65,
4.53,20.8,37.9,
6.5,20.19,40.65,
18.03,12.22,10.02,
33.02,27.74,21.05,
5.45,9.47,262.41,
12.6,23.62,48.15,
11.18,25.45,8.12,
1.36,10.33,24.55,
5.6,18.62,24.04,
14.9,31.67,270.92,
18.59,7.61,38.58,
33.87,29.43,45.46,
2.4,17.7,26.13,
5.01,15.4,18.19,
9.83,22.18,12.09,
2.4,35.23,25.3,
2.6,29.44,24.01,
7.43,6.19,11.43,
13.91,27.17,11.21,
12.91,7.73,26.26,
5.02,4.01,4.04,
9.0,12.57,18.22,
10.86,18.41,17.23,
44.83,7.93,4.52,
22.39,17.35,16.43,
13.24,17.5,4.37,
21.22,16.39,22.46,
16.19,5.86,16.63,
31.8,15.95,9.45,
10.0,23.82,31.2,
5.38,24.43,5.01,
20.55,11.7,30.77,
39.17,3.89,19.57,
4.3,18.45,4.84,
30.31,23.09,27.8,
17.25,16.41,24.16,
31.8,15.67,3.42,
25.2,17.7,3.98,
15.11,14.06,24.23,
29.21,12.61,19.48,
12.59,18.75,12.45,
4.95,8.28,15.67,
7.86,17.45,5.55,
36.9,5.57,12.45,
4.69,13.54,5.42,
7.74,22.28,29.67,
4.95,10.48,22.21,
12.81,19.28,11.69,
48.18,10.05,4.02,
20.99,9.02,6.56,
3.63,6.68,16.78,
3.63,12.26,54.19,
38.74,0.14,19.46,
31.76,15.0,7.02,
33.99,6.74,197.98,
9.95,3.1,26.41,
1.87,25.29,31.74,
28.77,15.71,7.73,
67.7,32.18,13.52,
11.49,24.7,14.54,
7.9,8.57,38.7,
35.45,22.32,11.42,
29.51,19.75,10.62,
22.51,3.94,15.21,
20.92,11.4,42.33,
1.56,19.56,11.96,
30.51,15.38,22.55,
1.53,5.74,4.61,
64.79,9.78,8.08,
25.05,3.06,25.92,
75.84,20.81,31.54,
6.64,14.21,22.49,
15.08,37.88,13.76,
20.42,10.37,20.54,
16.76,10.45,3.91,
35.68,22.81,68.04,
15.63,5.51,10.95,
5.64,7.77,31.53,
6.61,22.37,227.35,
10.09,15.26,33.55,
2.57,17.75,41.28,
2.35,22.99,8.18,
3.77,21.61,12.64,
20.26,15.99,4.2,
17.15,7.59,14.46,
3.79,10.46,3.79,
3.75,9.98,36.92,
3.42,22.69,232.15,
7.56,8.35,31.77,
3.77,2.67,12.8,
3.77,7.9,14.74,
23.91,16.93,13.93,
2.07,5.76,31.8,
3.8,7.01,4.28,
3.45,14.45,55.59,
20.26,24.18,10.9,
19.12,11.04,170.57,
3.29,7.05,20.49,
28.15,17.44,17.92,
6.35,12.91,14.77,
3.78,41.11,9.99,
20.68,91.49,116.88,
3.81,15.78,25.46,
3.77,8.88,29.34,
16.67,10.81,20.31,
3.35,12.25,6.49,
5.87,9.01,39.1,
3.63,14.57,22.71,
3.79,41.53,6.54,
21.32,15.95,10.04,
38.1,2.22,17.61,
9.48,24.68,4.1,
24.86,0.8,32.62,
