all,sb,arm,drive
30.77,30.77,18.3,31.64
7.6,7.6,21.64,86.81
8.81,8.81,29.85,24
4.89,16.21,8.28,32.78
16.21,6.81,40.04,96.61
6.81,7.6,47.28,40.27
7.6,5.54,44.81,32.94
5.54,5.37,20.99,33.39
5.37,16.59,27.2,52.19
16.59,110.59,6.76,59.84
110.59,3.01,24.49,9.75
3.01,24.12,70.32,31.32
24.12,3.38,55.3,38.2
3.38,27.65,17.59,28.75
3.11,5.33,52.29,50.24
2.9,25.96,4.68,59.67
27.65,4.82,14.88,38.33
5.33,37.07,22.3,39.83
25.96,17.09,19.57,34.83
31.64,26.51,22.13,33.82
4.82,33.36,21.21,55.24
18.3,6.14,54.98,79.34
37.07,28.65,57.09,39.3
21.64,31.03,61.3,45.29
17.09,29.96,27.59,114.77
29.85,61.14,19.7,22.22
26.51,2.47,31.43,5.73
8.28,3.05,40.89,34.13
33.36,2.97,35.61,36.57
6.14,6.22,23.53,66.4
28.65,38.33,29.38,23.58
86.81,42.69,11.41,34.03
19.37,72.19,44.03,27.07
3.01,15.83,49.33,63.02
31.03,9.73,22.64,30.89
24,18.62,30.73,35.05
19.28,29.7,190.3,27.66
2.9,21.35,65.15,35.4
29.96,26.43,6.85,29.65
61.14,13.89,63.11,44.95
32.78,35.95,71.39,98.54
2.89,31.47,37.83,52.37
2.47,12.57,15.8,42.97
3.05,87.63,22.78,45.17
2.97,9.06,12.33,39.95
6.22,6.81,94.04,43.64
38.33,33.74,32.17,37.97
40.04,11.84,44.71,53.67
96.61,23.06,19.7,47.09
12.34,30.93,33.08,130.17
42.69,11.47,10.25,52
72.19,20.58,30.48,46.9
40.27,11.7,12.33,62.69
15.83,28.48,32.97,103.92
9.73,33.3,35.95,38.29
32.3,20.94,8.37,26.37
8.35,3.9,21.57,33.57
18.62,19.5,26.06,31.23
29.7,17.43,23.97,33.39
32.94,22.61,21.25,26.82
21.35,37.35,9.36,36.15
26.43,17.58,22.9,28.3
33.39,43.38,32.13,52.77
7.04,16.85,43.44,22.12
2.9,27.12,18.59,84.66
13.89,2.47,17.26,29.3
35.95,28.26,8.04,30.08
52.19,13.88,25.19,29.83
31.47,12.46,10.83,35.45
47.28,39.21,41.15,44.42
9.2,18.75,8.01,35.63
2.9,17.1,11.34,39.31
44.81,31.51,47.07,70.28
12.57,23.39,10.62,63.03
20.99,2.17,9.08,34.07
87.63,33.03,47.38,43.82
27.05,12.33,51.6,42.85
9.06,32.8,65.27,17.57
6.81,30.35,32.88,91.9
27.2,25.92,12.81,24.99
6.76,17.15,6.63,18.58
33.74,14.5,22.53,44.4
21.15,35.58,35.42,44.84
11.84,18.75,41.38,32.22
23.06,16.23,13.55,35.57
30.93,14.05,50.62,58.67
13.78,27.31,7.25,105.44
11.47,10.2,70.44,34.28
46.98,26.4,29.6,53.34
20.58,4.92,28.51,39.87
11.7,13.24,18.72,50.75
59.84,26.19,11.33,50.48
28.48,33,12.11,39.04
9.75,5.41,38.58,31.27
18.67,32.28,57.8,47.6
33.3,21.53,40.88,45.82
20.94,20.15,44.89,45.15
31.32,25.29,1.17,37.7
3.9,26.77,33.49,59.72
19.5,24.54,27.2,10.19
38.2,21.23,4.68,47.33
3.98,41.28,19.15,41.86
17.43,38.94,29.31,48.91
28.75,18.46,49.76,59.02
27.02,31.72,37.24,43.89
22.61,4.55,23.75,44.53
37.35,26.41,68.6,40.96
17.58,7.78,33.12,30.8
43.38,28.14,10.4,44.26
50.24,41.06,58.01,43.89
16.85,3.67,11.31,33.41
27.12,10.31,28.37,54.72
2.47,23.52,24.29,35.34
28.26,18.36,25.06,40.62
59.67,18.01,13.85,34.04
20.07,7.11,14.76,27.19
13.88,9.93,21.13,34.78
12.46,6.61,22.32,36.43
39.21,42.4,4.17,28.93
24.49,11.9,25.22,60.51
18.75,32.93,12.37,101.28
38.33,33.24,10.46,40.1
10.56,18.46,21.24,112.51
17.1,18.69,16.84,32
31.51,24.82,35.45,30.19
39.83,6.39,5.51,160.55
23.39,18.16,26.11,17.67
2.17,2.45,3.05,23.24
33.03,9.69,16.19,31.77
34.83,29.82,29.82,8.73
12.33,32.66,46.47,39.29
70.32,4.25,26.86,56.39
7.2,33.38,33.13,26.98
32.8,24.27,23.66,33.3
55.3,32.49,75.01,44.28
17.59,12.41,70.32,52.82
30.35,22.58,121.33,44.99
52.29,30.76,30.39,35.83
4.68,32.81,20.46,37.67
25.92,35,32.01,32.63
33.82,42.57,11.76,42.59
17.15,57.15,59.13,51.7
55.24,28.99,12.02,40.84
14.5,44.62,42.94,14.93
35.58,15.97,6.96,50.92
3.15,25.26,18.16,44.87
18.75,28.37,30.17,30.37
14.88,43.83,13.12,21.42
22.3,9.71,34.45,33.83
16.23,12.22,7.7,51.2
79.34,17.55,16.09,39.59
14.05,15.01,14.51,37.83
27.31,10.84,18.66,38.31
39.3,4.59,31.52,36
10.2,9.33,30.9,34.35
26.4,21.79,8.81,119.79
45.29,22.36,17.31,37.48
4.92,16.22,18.5,26.15
13.24,30.56,50.18,40.02
114.77,19.55,49.54,48.31
19.57,8.81,30.25,78.39
22.13,26.45,6.6,34.45
26.19,8.21,33.34,20.75
33,17.16,2.68,34.48
22.22,22.45,29.8,40.92
5.41,16.91,29.16,17.14
32.28,18.58,5.2,27.63
21.21,4.34,17.2,35.63
21.53,13.98,29.96,48.11
5.73,34.9,16.4,41.14
20.15,17.5,17.41,57.49
34.13,41.64,5.52,57.65
25.29,33.51,36.31,12.91
36.57,36.02,12.1,44.83
26.77,5.33,10.45,39.17
54.98,8.18,11.58,29.21
24.54,12.21,39.24,36.9
66.4,5.65,8.17,48.18
8.86,14.5,9.28,67.7
8.6,8.71,9.86,35.45
21.23,18.95,14.44,75.84
41.28,27.86,105.64,38.1
23.58,15.67,16.98,34.62
24.15,21.27,12.4,38.49
38.94,11.28,29.51,38.79
3.46,24.47,16.03,32.1
18.46,15.05,5.15,44.8
57.09,54.24,33.05,46.45
31.72,22.51,7.72,56.31
4.55,11.21,7.83,42.66
61.3,20.87,34.2,36.42
26.41,10.03,6.91,50.74
7.78,24.18,45.74,30.29
28.14,24.48,3.4,26.29
82.88,9.38,4.11,41.53
41.06,19.15,18.02,91.48
3.67,20.48,13.12,41.6
10.31,8.24,110.06,58.83
21.93,15.64,6.17,26.34
13.05,13.75,31.82,70.17
23.52,7.34,10.46,38.73
18.36,7.01,12.15,47.57
27.83,6.96,3.17,52.89
18.01,5.24,13.95,31.63
7.11,8.67,17.5,28.62
9.93,16.57,30.74,41.81
27.59,5.31,51.57,55.11
6.61,18.65,3.33,39.01
10.29,13.7,14.65,62.28
35.25,30.38,9.85,74.6
42.52,7.24,34.9,25.22
42.4,3.22,42.38,31.41
11.9,20.41,5.76,37.25
19.7,7.68,3.17,7.55
10.99,17.4,24.55,37.58
20.5,2.97,8.06,44.56
54.16,19.2,16.66,48.87
3.11,29.59,34.49,42.13
28.53,11.1,8.15,27.04
32.93,29.6,7.2,29.14
