all,sb,arm,drive
-7.437,-7.437,-0.176,-22.593
-22.593,-7.985,-5.796,-31.704
-7.985,-6.735,-5.16,-22.639
-31.704,-11.393,-0.199,5.071
-0.732,-1.767,-2.205,-30.915
-6.735,-7.906,-3.457,-24.866
-22.639,-8.893,-8.399,-12.874
-0.176,-1.361,-2.411,1.877
-11.393,-1.254,-0.52,-8.835
-1.767,-0.956,-10.759,-31.196
5.071,-0.995,-2.097,-19.59
-7.906,-1.256,0.05,-22.832
-5.796,-1.344,-8.58,-18.31
-8.893,-1.368,-23.24,-15.998
-1.361,0.24,-2.117,-14.352
-1.254,-3.545,-4.282,-104.787
-0.956,-2.015,-1.363,-22.483
-0.995,-0.639,-4.436,-16.152
-1.256,-2.803,-86.136,-19.016
-1.344,-13.391,-14.979,-24.915
-1.368,-10.467,-8.396,-63.392
0.24,-7.595,-5.511,-19.448
-30.915,-10.122,-9.033,-16.251
-3.545,-2.032,-1.15,-16.482
-24.866,-8.759,-9.051,-19.924
-2.015,-6.657,-2.219,-10.635
-0.639,-15.623,-2.832,-15.626
-2.803,-5.892,-13.699,-15.631
-12.874,-3.713,-1.912,-28.112
-13.391,-4.429,-25.238,-20.793
-10.467,-13.689,-0.398,-37.491
1.877,-66.166,-1.107,-42.646
-1.15,-5.347,-2.522,8.09
-7.595,-0.422,-8.12,-30.828
-10.122,-10.573,-85.055,-24.169
-5.16,-5.768,-0.17,-11.71
-0.199,-8.339,-16.822,-21.895
-2.032,-15.902,-7.46,-22.676
-8.835,-2.488,-2.147,-47.696
-31.196,-1.231,-0.175,-16.454
0.018,-9.646,-6.705,-56.84
-8.759,-0.36,-7.496,-23.097
-2.205,-3.993,-6.741,-14.623
-6.657,-6.066,-36.571,-17.49
-19.59,-9.244,-0.334,-18.792
-15.623,-8.736,-9.647,-12.104
-5.892,-3.379,-0.85,-19.684
-3.713,-11.527,-26.898,-30.449
-4.429,-6.718,-18.384,-37.311
-22.832,-5.979,-0.759,-22.66
-13.689,-5.591,-0.171,-21.416
-66.166,-3.618,-9.552,-35.742
-5.347,-4.169,-1.059,-15.285
-0.422,-2.525,-4.658,-6.286
-3.457,-2.515,-10.491,-21.53
-0.516,-5.081,-3.149,-76.482
-8.399,-3.451,-0.195,-21.603
-2.411,-8.11,-7.051,-36.834
-18.31,-1.404,-0.169,-11.345
-10.573,-5.462,-8.812,-48.173
-5.768,-0.932,-17.194,-18.727
-8.339,-2.09,-0.511,-32.569
-15.998,-8.681,-26.363,-28.387
-0.52,-7.221,-18.016,-11.627
-15.902,-2.532,-7.6,-13.123
-2.488,-3.266,-6.18,-21.812
-1.231,-0.355,-6.9,-40.113
-9.646,-4.771,-2.427,-20.511
-10.759,-0.36,-0.861,-10.126
-0.36,-0.061,-5.721,-59.595
-3.993,-0.283,-22.701,-11.733
-6.066,-2.36,-1.304,-12.413
-2.097,-0.814,-2.25,-23.404
-9.244,-14.795,-8.303,12.455
0.05,-5.666,-17.699,-19.581
-14.352,-0.458,-3.488,-26.563
-8.58,-10.408,-21.267,-33.873
-8.736,-10.49,-8.49,-22.131
-0.693,0.023,-9.92,-12.036
-4.947,1.46,-15.509,-11.135
-23.24,-0.908,-4.582,-11.335
-3.379,-1.358,-10.166,-21.575
-11.527,-0.496,-4.264,-0.939
-6.718,-0.442,-6.173,-15.104
-1.033,-1.419,-6.48,-17.072
-5.979,-2.16,-17.754,-19.409
-9.232,-1.918,-4.515,1.727
-2.117,-7.217,-26.93,-11.487
-5.591,-2.852,0.607,-13.522
-10.933,-5.002,-48.327,-39.021
-4.282,-8.226,-4.422,-23.071
-3.618,-1.116,-15.069,-22.229
-1.363,-1.037,-2.429,-18.867
-4.169,-11.899,-22.894,1.354
-2.525,-3.839,-3.258,-12.429
3.266,-12.332,-13.337,-19.41
-186.951,-5.332,-9.117,-4.977
-0.455,-6.772,-11.173,-40.723
-2.515,-3.262,-6.258,-20.408
-5.385,-8.409,-9.241,-27.635
-5.081,-3.34,-11.074,-8.288
-3.451,-10.224,-16.682,9.616
-4.436,-15.167,-11.723,-6.92
-0.692,-3.247,-12.163,-27.206
-8.11,-3.187,-23.492,12.475
-1.404,-17.97,-40.221,-25.871
-0.922,-5.031,-6.396,5.843
-5.462,-15.319,-11.415,-18.595
-8.784,0.405,-11.606,-74.138
-0.932,-1.07,-3.745,-17.487
-2.09,-2.484,0.391,-25.818
-26.225,-3.468,-20.79,-8.461
-7.011,-4.033,-1.119,-9.797
-8.681,-10.571,0.032,-21.443
-27.586,-0.824,-3.314,-30.716
-7.221,-0.706,-0.454,-18.628
-2.532,-1.971,-23.395,-5.411
-3.266,0.086,-15.705,-26.097
-0.355,-0.946,1.953,-21.708
-4.771,-6.864,-4.826,24.717
-86.136,0.396,-0.248,-170.253
-14.979,-3.733,-11.8,-12.398
-0.36,-1.017,-6.724,-35.005
-0.566,-2.405,-0.301,-11.063
-1.133,-1.948,-9.239,-10.75
-104.787,-6.751,0.525,-49.338
-8.396,-2.988,-2.589,-9.539
-0.994,-11.954,-3.368,-25.623
-0.061,-29.636,-1.146,-52.388
-0.283,-4.995,-7.558,-49.113
-1.032,-6.842,-1.136,-14.845
-2.36,0.854,-3.562,-15.25
-0.814,-1.501,-0.709,-24.458
-14.795,-8.031,-11.224,-32.792
-5.666,-0.451,-2.376,-23.174
-5.511,-0.363,-18.983,-37.446
-9.033,-0.601,0.396,-17.252
-22.483,-5.594,-0.942,-20.173
-1.15,-18.368,-10.24,-12.42
-0.458,-0.404,-29.362,-28.548
-10.408,-0.011,-6.344,-31.708
-16.152,-0.401,3.012,-23.33
-0.653,-0.602,-0.625,-50.049
-10.49,-9.406,-5.858,-20.444
0.023,-2.997,-17.741,-26.45
-1.03,-12.385,-2.632,1.643
-1.146,-3.241,-4.607,-20.892
1.46,-6.188,-9.374,7.073
-1.148,-0.382,-3.178,-12.268
-0.908,-5.553,-5.162,-20.952
-1.358,-15.313,-9.301,-28.658
-1.146,-6.872,0.375,-29.164
-0.496,-4.59,-3.921,-19.282
-1.144,-2.858,-16.613,-27.438
-0.442,0.308,1.177,-23.454
-1.147,0.258,-1.4,14.464
-1.035,-2.814,-3.658,-17.133
-1.419,-10.994,-6.941,-19.41
-1.147,-13.742,-40.105,-16.644
-2.16,-11.759,-11.859,-17.829
-1.918,0.051,-1.874,-19.406
-9.051,0.098,3.458,-15.823
-2.219,-14.514,-1.036,-30.318
-2.832,-2.507,-6.894,-28.776
-7.217,-48.787,-19.084,-12.302
-2.852,-15.462,-0.309,11.198
-13.699,-0.424,-0.993,-18.928
-1.912,-6.757,-0.142,-11.495
-5.002,-0.627,-1.517,-20.706
-25.238,-2.147,-16.009,-19.224
-0.112,-13.88,-52.611,6.783
-0.398,-5.26,-14.261,-15.183
-8.226,0.882,-4.422,-13.683
-19.016,-1.286,-5.677,15.718
-1.107,-7.148,-1.012,-35.034
-2.556,-1.345,0.106,-17.261
-2.522,-0.775,0.951,30.842
-8.12,-2.416,-8.348,14.16
-1.116,-0.811,-2.419,15.479
-1.037,-0.77,-0.964,-50.83
-85.055,-0.352,-1.786,18.583
-11.899,-0.868,-5.323,-66.66
-3.839,-0.628,-11.279,-38.966
-24.915,-0.787,-6.48,-30.488
-0.17,-6.315,0.74,1.73
-16.822,-9.862,-10.9,12.654
-12.332,-1.747,-25.106,-10.066
-63.392,-6.096,-21.513,13.881
-7.46,-14.554,-3.415,12.729
-2.147,-9.675,-5.351,-22.736
-5.332,-11.875,-40.295,-36.936
-19.448,-5.338,-54.938,-7.773
-0.175,-3.508,-12.476,-8.09
-16.717,-3.958,-0.912,-27.405
-6.705,-17.594,9.554,-26.561
-6.772,-8.661,-1.417,-7.501
-16.251,-5.295,-27.299,-22.521
-3.262,-9.222,-90.237,-14.816
-7.496,0.388,-19.397,-32.032
-8.409,-5.565,-2.61,-16.403
-16.482,-12.069,-4.873,-17.983
-3.34,-14.372,-1.321,-9.275
-10.224,-6.31,2.917,-15.012
-15.167,-7.712,-39.365,-36.98
-6.741,-2.33,-132.789,-29.878
-3.247,-4.995,-62.274,-79.646
-36.571,-14.107,-35.907,-23.857
-3.187,-4.158,-8.309,-16.753
-19.924,-0.509,-0.78,-22.941
-0.334,-1.869,-14.733,-16.636
-17.97,-0.795,-1.037,14.617
-9.647,-0.16,-2.353,11.921
-5.031,-0.375,-1.068,-25.76
-10.635,0.904,-8.507,-21.589
-15.319,3.015,-1.279,-30.774
-0.85,-1.521,-31.195,-32.554
0.405,-1.557,-18.863,-12.746
-15.626,-8.033,-8.451,-22.14
-1.07,-11.317,-16.842,-25.179
-26.898,-3.367,0.428,-30.378
-2.484,-0.015,-37.664,-29.257
-18.384,-4.631,14.13,-7.977
-0.759,-5.646,-0.736,
-3.468,-1.952,-19.996,
-15.631,-0.962,-1.487,
-0.171,-1.065,-12.416,
-4.033,-3.69,-22.46,
-9.552,-11.651,-1.894,
-10.571,-3.756,-9.007,
-28.112,-6.063,-12.885,
-1.059,-9.331,0.218,
-0.824,-0.089,-6.347,
-0.706,-11.104,-3.816,
-1.971,-15.485,-0.662,
0.086,-7.561,9.671,
-4.658,-10.208,-9.318,
-0.946,-0.593,-16.827,
-9.377,-2.642,-4.096,
-20.793,-12.982,-12.066,
-6.864,-2.665,-6.263,
0.396,-3.881,-8.221,
-3.733,1.413,-6.273,
-1.017,-3.481,-9.498,
-10.491,-4.427,-19.908,
-2.405,-9.812,-1.378,
-3.149,-4.226,-8.09,
-37.491,-8.919,-10.734,
-0.195,-8.112,-3.485,
-1.948,-12.18,-7.842,
-7.051,-8.559,-2.912,
-6.751,-0.531,-2.91,
-42.646,-2.318,-5.773,
-0.169,-19.355,-1.865,
-2.988,-8.449,-7.811,
-8.812,-7.436,-12.928,
-11.954,-5.264,-4.442,
-29.636,0.719,-1.12,
-0.98,-6.386,-12.814,
-4.995,-14.64,-2.947,
-1.376,-3.323,-20.954,
-6.842,-13.363,-9.013,
-17.194,-11.595,-3.937,
-6.281,-20.579,-31.263,
-0.511,-15.233,-7.22,
-26.363,-7.723,-14.975,
0.854,-2.276,-2.646,
0.474,-8.015,-7.397,
-1.501,-5.201,-24.653,
-8.031,-12.188,-2.023,
-18.016,-5.221,-5.55,
-0.451,-12.739,-251.409,
-7.6,-4.335,-32.65,
-6.18,-10.619,-3.118,
-0.363,-6.447,-9.047,
-0.601,-2.831,-3.542,
-6.9,-3.623,-259.921,
